name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
kimbokjoo,"July 24th 2017, 9:29:33 pm",1,1,174,257,0,zipper,1,None,0
kimbokjoo,"July 24th 2017, 9:29:34 pm",1,2,345,440,1,zipper,1,None,0
kimbokjoo,"July 24th 2017, 9:29:34 pm",1,3,440,494,0,zipper,2,None,0
kimbokjoo,"July 24th 2017, 9:29:49 pm",1,4,494,525,1,zipper,4,None,0
kimbokjoo,"July 24th 2017, 9:29:50 pm",1,5,65,207,1,zipper,2,None,0
kimbokjoo,"July 24th 2017, 9:29:50 pm",1,6,207,247,0,zipper,3,None,0
kimbokjoo,"July 24th 2017, 9:29:50 pm",1,7,247,330,1,zipper,3,None,0
kimbokjoo,"July 24th 2017, 9:29:50 pm",1,8,330,409,1,zipper,3,None,0
kimbokjoo,"July 24th 2017, 9:29:51 pm",1,9,409,484,0,zipper,3,None,0
kimbokjoo,"July 24th 2017, 9:29:51 pm",1,10,484,528,0,zipper,3,None,0
kimbokjoo,"July 24th 2017, 9:29:51 pm",1,11,94,162,0,zipper,3,None,0
kimbokjoo,"July 24th 2017, 9:29:52 pm",1,12,162,255,0,zipper,2,None,0
kimbokjoo,"July 24th 2017, 9:29:53 pm",1,13,255,288,1,zipper,4,None,0
