name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat,response_time,workerId,assignmentId,hitId
namjoo,"July 26th 2017, 12:11:41 pm",1,1,62,181,1,tear,4,None,0,2161,,,
eunjeong,"July 26th 2017, 12:13:11 pm",1,1,62,181,1,tear,5,None,0,1998,,,
eunjeong,"July 26th 2017, 12:13:15 pm",1,2,185,238,0,tear,5,None,0,2113,,,
eunjeong,"July 26th 2017, 12:13:21 pm",1,3,86,185,1,tear,4,None,0,2523,,,
kaejussi,"July 26th 2017, 12:15:15 pm",1,1,62,181,1,tear,3,None,0,2264,,,
hailey,"July 26th 2017, 12:32:23 pm",1,1,70,166,1,zipper,2,None,0,3966,,,
hailey,"July 26th 2017, 12:32:33 pm",1,2,154,241,0,zipper,6,None,0,3796,,,
namjoo,"July 26th 2017, 12:54:43 pm",1,1,294,366,1,zipper,4,None,0,3019,,,
namjoo,"July 26th 2017, 12:55:29 pm",1,1,366,468,1,zipper,1,None,0,4044,,,
namjoo,"July 26th 2017, 12:55:29 pm",1,1,366,468,1,zipper,1,None,0,4044,,,
namjoo,"July 26th 2017, 12:55:37 pm",1,2,65,207,1,zipper,1,None,0,1490,,,
namjoo,"July 26th 2017, 12:55:37 pm",1,2,65,207,1,zipper,1,None,0,1490,,,
namjoo,"July 26th 2017, 12:56:38 pm",1,1,214,246,0,water,6,None,2,1000,,,
namjoo,"July 26th 2017, 12:56:38 pm",1,1,214,246,0,water,6,None,2,1000,,,
namjoo,"July 26th 2017, 12:56:38 pm",1,1,214,246,0,water,6,None,2,1000,,,
namjoo,"July 26th 2017, 12:58:19 pm",1,1,174,257,0,zipper,1,None,0,2447,,,
namjoo,"July 26th 2017, 12:58:19 pm",1,1,174,257,0,zipper,1,None,0,2447,,,
namjoo,"July 26th 2017, 12:58:19 pm",1,1,174,257,0,zipper,1,None,0,2447,,,
namjoo,"July 26th 2017, 12:58:19 pm",1,1,174,257,0,zipper,1,None,0,2447,,,
namjoo,"July 26th 2017, 12:58:19 pm",1,1,174,257,0,zipper,1,None,0,2447,,,
iamnew,"July 26th 2017, 1:02:37 pm",1,1,62,181,1,tear,1,None,0,33591,,,
iamnew,"July 26th 2017, 1:02:37 pm",1,1,62,181,1,tear,1,None,0,33591,,,
iamnew,"July 26th 2017, 1:02:37 pm",1,1,62,181,1,tear,1,None,0,33591,,,
iamnew,"July 26th 2017, 1:02:37 pm",1,1,62,181,1,tear,1,None,0,33591,,,
iamnew,"July 26th 2017, 1:02:37 pm",1,1,62,181,1,tear,1,None,0,33591,,,
iamnew,"July 26th 2017, 1:02:37 pm",1,1,62,181,1,tear,1,None,0,33591,,,
iamnew,"July 26th 2017, 1:02:37 pm",1,1,62,181,1,tear,1,None,0,33591,,,
iamnew,"July 26th 2017, 1:02:37 pm",1,1,62,181,1,tear,1,None,0,33591,,,
