name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
maggie,"July 24th 2017, 6:08:59 pm",1,1,62,181,1,tear,1,None,0
maggie,"July 24th 2017, 6:11:53 pm",1,1,62,181,1,tear,1,None,0
maggie,"July 24th 2017, 6:11:59 pm",1,2,238,302,0,tear,1,None,2
maggie,"July 24th 2017, 6:12:03 pm",1,3,185,238,0,tear,1,None,1
maggie,"July 24th 2017, 8:04:52 pm",1,1,62,181,1,tear,2,None,0
maggie,"July 24th 2017, 8:05:43 pm",1,2,238,302,0,tear,1,None,0
maggie,"July 24th 2017, 8:05:52 pm",1,3,185,238,0,tear,3,None,0
maggie,"July 24th 2017, 8:06:01 pm",1,4,86,185,0,tear,4,None,0
maggie,"July 24th 2017, 8:06:11 pm",1,5,486,537,0,tear,3,None,0
maggie,"July 24th 2017, 8:06:21 pm",1,6,420,486,1,tear,3,None,0
maggie,"July 24th 2017, 8:06:26 pm",1,7,335,420,1,tear,3,None,0
maggie,"July 24th 2017, 8:06:32 pm",1,8,268,335,0,tear,6,None,0
maggie,"July 24th 2017, 8:06:36 pm",1,9,217,268,0,tear,6,None,0
maggie,"July 24th 2017, 8:06:40 pm",1,10,138,217,1,tear,6,None,0
maggie,"July 24th 2017, 8:12:22 pm",1,1,62,181,1,tear,1,None,0
maggie,"July 24th 2017, 8:16:51 pm",1,1,62,181,1,tear,1,None,0
maggie,"July 24th 2017, 8:16:59 pm",1,2,238,302,0,tear,1,None,0
maggie,"July 24th 2017, 8:17:01 pm",1,3,185,238,0,tear,1,None,0
maggie,"July 24th 2017, 8:17:01 pm",1,4,86,185,0,tear,1,None,0
maggie,"July 24th 2017, 8:17:02 pm",1,5,486,537,0,tear,1,None,0
maggie,"July 24th 2017, 8:22:14 pm",1,1,62,181,1,tear,1,None,0
maggie,"July 24th 2017, 8:23:00 pm",1,1,62,181,1,tear,1,None,0
maggie,"July 24th 2017, 8:23:01 pm",1,2,238,302,0,tear,1,None,0
maggie,"July 24th 2017, 8:23:33 pm",1,3,185,238,0,tear,1,None,0
maggie,"July 24th 2017, 8:23:42 pm",1,4,86,185,0,tear,1,None,0
maggie,"July 24th 2017, 8:23:43 pm",1,5,486,537,0,tear,1,None,0
maggie,"July 24th 2017, 8:23:55 pm",1,6,420,486,1,tear,1,None,0
